food,calories,protein_g,fat_total_g,carbohydrates_total_g,fiber_g,sugar_g,sodium_mg,potassium_mg,cholesterol_mg
Banana,89,1.1,0.3,23,2.6,12,1,358,0
Apple,52,0.3,0.2,14,2.4,10,1,107,0
Orange,47,0.9,0.1,12,2.4,9,0,181,0
Strawberries,32,0.7,0.3,7.7,2,4.9,1,153,0
Blueberries,57,0.7,0.3,14,2.4,10,1,77,0
Grapes,69,0.7,0.2,18,0.9,16,2,191,0
Pineapple,50,0.5,0.1,13,1.4,10,1,109,0
Mango,60,0.8,0.4,15,1.6,14,1,168,0
Papaya,43,0.5,0.3,11,1.7,8,1,182,0
Watermelon,30,0.6,0.2,8,0.4,6,1,112,0
Egg,143,12.6,9.5,0.7,0,0.4,142,126,373
Egg Yolk,322,15.9,26.5,3.6,0,0.6,48,109,1085
Egg White,52,10.9,0.2,0.7,0,0.7,166,163,0
Milk,60,3.2,3.3,5,0,5,46,150,10
Cheese,403,25,33,1.3,0,0.5,621,98,105
Yogurt,61,3.5,3.3,4.7,0,4.7,46,155,5
Almonds,579,21,50,22,12,4,1,733,0
Walnuts,654,15,65,14,6.7,2.6,2,441,0
Peanuts,567,25,49,16,8.5,4.7,18,705,0
Cashews,553,18,44,30,3.3,5.2,12,565,0
Chicken,165,31,3.6,0,0,0,74,256,85
Beef,250,26,15,0,0,0,72,318,0
Salmon,208,20,13,0,0,0,59,363,55
Tuna,132,28,1,0,0,0,237,45,45
Shrimp,99,24,0.3,0.2,0,0,148,259,189
Tofu,76,8,4.8,1.9,0.3,0.3,7,121,0
Lentils,116,9,0.4,20,7.9,1.8,1,369,0
Chickpeas,164,9,2.6,27,7.6,4.8,7,291,0
Kidney Beans,127,8.7,0.5,22,0.3,0.3,2,405,0
Brown Rice,123,2.7,1,25.6,1.8,0.1,0,86,0
White Rice,130,2.4,0.3,28,0.4,0.1,26,0
Oatmeal,71,2.5,1.4,12,0.5,0.5,0,52,0
Quinoa,120,4.1,1.9,21,2,2,7,172,0
Broccoli,34,2.8,0.4,7,1.7,1.7,1,316,0
Spinach,23,2.9,0.4,3.6,0.4,0.4,79,558,0
Carrot,41,0.9,0.2,10,2.9,4.7,69,320,0
Tomato,18,0.9,0.2,3.9,2.6,2.6,5,237,0
Potato,77,2,0.1,17,2.2,0.8,0,429,0
Sweet Potato,86,1.6,0.1,20,3,4.2,55,337,0
Onion,40,1.1,0.1,9,1.7,1.7,4,146,0
Garlic,149,6.4,0.5,33,2.1,1,1,401,0
Bell Pepper,31,1,0.3,6,2.4,2.4,2,211,0
Cucumber,16,0.7,0.1,3.6,1.7,1.7,2,147,0
Mushroom,22,3.1,0.3,3.3,0.7,0.7,318,0
Zucchini,17,1.2,0.3,3.1,1,1,261,0
Avocado,160,2,15,9,7,0.7,7,485,0
Olive Oil,884,0,100,0,0,0,2,1,0
Butter,717,0.9,81,0.1,0,0.1,11,215
